"Date","Pool","Currency","Wallet","DailyEarnings","StartTime","StartValue","EndTime","EndValue","Balance","Pending","Unpaid","Payout"
"2023-09-06","ZergPool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","00:04:41","0.00062149","02:25:19","0.00062149","0.00062148","6.8276634366044E-09","0.00062149","0"
"2023-09-06","Zpool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","00:04:41","2.793E-05","02:25:19","2.793E-05","2.793E-05","8.7205029347585E-10","2.793E-05","0"
"2023-09-08","HashCryptos","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","07:16:49","1.8900000000000003E-06","07:26:50","1.8900000000000003E-06","1.67E-06","1.9E-07","1.86E-06","0"
"2023-09-08","HiveON","ETC","7cf99ec9029a98afd385f106a93977d8105fec0f","0","07:16:49","0.015402569","07:26:50","0.015402569","0.015402569","0","0.015402569","0"
"2023-09-08","MiningDutch","AEON","UselessGuru","0","07:16:49","0.00170007","07:26:50","0.00170007","0.00170007","0","0.00170007","0"
"2023-09-08","MiningDutch","BELL","UselessGuru","0","07:16:49","0.43648422","07:26:50","0.43648422","0.43648422","0","0.43648422","0"
"2023-09-08","MiningDutch","BTC","UselessGuru","0","07:16:49","4.699E-05","07:26:50","4.699E-05","4.699E-05","0","4.699E-05","0"
"2023-09-08","MiningDutch","CCC","UselessGuru","0","07:16:49","4.313485","07:26:50","4.313485","4.313485","0","4.313485","0"
"2023-09-08","MiningDutch","CLORE","UselessGuru","0","07:16:49","0.01281439","07:26:50","0.01281439","0.01281439","0","0.01281439","0"
"2023-09-08","MiningDutch","DMS","UselessGuru","0","07:16:49","0.09630923","07:26:50","0.09630923","0.09630923","0","0.09630923","0"
"2023-09-08","MiningDutch","FTC","UselessGuru","0","07:16:49","0.84452926","07:26:50","0.84452926","0.84452926","0","0.84452926","0"
"2023-09-08","MiningDutch","GUN","UselessGuru","0","07:16:49","10.8156864","07:26:50","10.8156864","10.8156864","0","10.8156864","0"
"2023-09-08","MiningDutch","IQ","UselessGuru","0","07:16:49","2.58782551","07:26:50","2.58782551","2.58782551","0","2.58782551","0"
"2023-09-08","MiningDutch","NEOX","UselessGuru","0","07:16:49","0.57254822","07:26:50","0.57254822","0.57254822","0","0.57254822","0"
"2023-09-08","MiningDutch","NYX","UselessGuru","0","07:16:49","0.09979641","07:26:50","0.09979641","0.09979641","0","0.09979641","0"
"2023-09-08","MiningDutch","PAPRY","UselessGuru","0","07:16:49","0.22477687","07:26:50","0.22477687","0.22477687","0","0.22477687","0"
"2023-09-08","MiningDutch","UFO","UselessGuru","0","07:16:49","0.20887727","07:26:50","0.20887727","0.20887727","0","0.20887727","0"
"2023-09-08","MiningDutch","VHH","UselessGuru","0","07:16:49","6317.71316063","07:26:50","6317.71316063","6317.71316063","0","6317.71316063","0"
"2023-09-08","MiningDutch","VTC","UselessGuru","0","07:16:49","0.08558942","07:26:50","0.08558942","0.08558942","0","0.08558942","0"
"2023-09-08","MiningDutch","YEC","UselessGuru","0","07:16:49","0.10712654","07:26:50","0.10712654","0.10712654","0","0.10712654","0"
"2023-09-08","MiningDutch","YTN","UselessGuru","0","07:16:49","0.47039829","07:26:50","0.47039829","0.47039829","0","0.47039829","0"
"2023-09-08","MiningDutch","ZCL","UselessGuru","0","07:16:49","0.02185477","07:26:50","0.02185477","0.02185477","0","0.02185477","0"
"2023-09-08","NiceHash External","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","07:16:49","0.00057724","07:26:50","0.00057724","0.00057684","4E-07","0.00057724","0"
"2023-09-08","NiceHash Internal","BTC","33hZYX8iFg5zm9E3geqrNgeP6TMzszZk5R","0","07:16:49","0.00730754","07:26:50","0.00730754","0.00730754","0","0.00730754","0"
"2023-09-08","ProHashing","ETH","UselessGuru","0","07:16:49","1.1152209623217067E-05","07:26:50","1.1152209623217067E-05","1.1152209623217067E-05","0","1.1152209623217067E-05","0"
"2023-09-08","ProHashing","RTM","UselessGuru","0","07:16:49","0.0048188439854162","07:26:50","0.0048188439854162","0.0048188439854162","0","0.0048188439854162","0"
"2023-09-08","ProHashing","XMR","UselessGuru","0","07:16:49","2.563445299E-07","07:26:50","2.563445299E-07","2.563445299E-07","0","2.563445299E-07","0"
"2023-09-08","ZergPool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","07:16:49","0.00062149","07:26:50","0.00062167","0.00062162","4.7501035356742E-08","0.00062167","0"
"2023-09-08","Zpool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","07:16:49","2.793E-05","07:26:50","2.794E-05","2.794E-05","1.0085451220199E-09","2.794E-05","0"
"2023-09-10","HashCryptos","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","21:22:50","1.8900000000000003E-06","21:22:50","1.8900000000000003E-06","1.67E-06","1.6E-07","1.83E-06","0"
"2023-09-10","HiveON","ETC","7cf99ec9029a98afd385f106a93977d8105fec0f","0","21:22:50","0.015402569","21:22:50","0.015402569","0.015402569","0","0.015402569","0"
"2023-09-10","MiningDutch","AEON","UselessGuru","0","21:22:50","0.00170007","21:22:50","0.00170007","0.00170007","0","0.00170007","0"
"2023-09-10","MiningDutch","BELL","UselessGuru","0","21:22:50","0.43648422","21:22:50","0.43648422","0.43648422","0","0.43648422","0"
"2023-09-10","MiningDutch","BTC","UselessGuru","0","21:22:50","4.699E-05","21:22:50","4.699E-05","4.699E-05","0","4.699E-05","0"
"2023-09-10","MiningDutch","CCC","UselessGuru","0","21:22:50","4.313485","21:22:50","4.313485","4.313485","0","4.313485","0"
"2023-09-10","MiningDutch","CLORE","UselessGuru","0","21:22:50","0.01281439","21:22:50","0.01281439","0.01281439","0","0.01281439","0"
"2023-09-10","MiningDutch","DMS","UselessGuru","0","21:22:50","0.09630923","21:22:50","0.09630923","0.09630923","0","0.09630923","0"
"2023-09-10","MiningDutch","FTC","UselessGuru","0","21:22:50","0.84452926","21:22:50","0.84452926","0.84452926","0","0.84452926","0"
"2023-09-10","MiningDutch","GUN","UselessGuru","0","21:22:50","10.8156864","21:22:50","10.8156864","10.8156864","0","10.8156864","0"
"2023-09-10","MiningDutch","IQ","UselessGuru","0","21:22:50","2.58782551","21:22:50","2.58782551","2.58782551","0","2.58782551","0"
"2023-09-10","MiningDutch","NEOX","UselessGuru","0","21:22:50","0.57254822","21:22:50","0.57254822","0.57254822","0","0.57254822","0"
"2023-09-10","MiningDutch","NYX","UselessGuru","0","21:22:50","0.09979641","21:22:50","0.09979641","0.09979641","0","0.09979641","0"
"2023-09-10","MiningDutch","PAPRY","UselessGuru","0","21:22:50","0.22477687","21:22:50","0.22477687","0.22477687","0","0.22477687","0"
"2023-09-10","MiningDutch","UFO","UselessGuru","0","21:22:50","0.20887727","21:22:50","0.20887727","0.20887727","0","0.20887727","0"
"2023-09-10","MiningDutch","VHH","UselessGuru","0","21:22:50","6317.71316063","21:22:50","6317.71316063","6317.71316063","0","6317.71316063","0"
"2023-09-10","MiningDutch","VTC","UselessGuru","0","21:22:50","0.08558942","21:22:50","0.08558942","0.08558942","0","0.08558942","0"
"2023-09-10","MiningDutch","YEC","UselessGuru","0","21:22:50","0.10712654","21:22:50","0.10712654","0.10712654","0","0.10712654","0"
"2023-09-10","MiningDutch","YTN","UselessGuru","0","21:22:50","0.47039829","21:22:50","0.47039829","0.47039829","0","0.47039829","0"
"2023-09-10","MiningDutch","ZCL","UselessGuru","0","21:22:50","0.02185477","21:22:50","0.02185477","0.02185477","0","0.02185477","0"
"2023-09-10","NiceHash External","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","21:22:50","0.00057724","21:22:50","0.00057724","0.00057684","4E-07","0.00057724","0"
"2023-09-10","NiceHash Internal","BTC","33hZYX8iFg5zm9E3geqrNgeP6TMzszZk5R","0","21:22:50","0.00730754","21:22:50","0.00730754","0.00730754","0","0.00730754","0"
"2023-09-10","ProHashing","ETH","UselessGuru","0","21:22:50","1.1152209623217067E-05","21:22:50","1.1152209623217067E-05","1.1152209623217067E-05","0","1.1152209623217067E-05","0"
"2023-09-10","ProHashing","RTM","UselessGuru","0","21:22:50","0.0048188439854162","21:22:50","0.0048188439854162","0.0048188439854162","0","0.0048188439854162","0"
"2023-09-10","ProHashing","XMR","UselessGuru","0","21:22:50","2.563445299E-07","21:22:50","2.563445299E-07","2.563445299E-07","0","2.563445299E-07","0"
"2023-09-10","ZergPool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","21:22:50","0.00062167","21:22:50","0.0006217","0.00062169","8.7196807701249E-09","0.0006217","0"
"2023-09-10","Zpool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","21:22:50","2.794E-05","21:22:50","2.794E-05","2.794E-05","0","2.794E-05","0"
"2023-09-11","HashCryptos","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","21:37:55","1.8900000000000003E-06","21:47:57","1.9100000000000003E-06","1.67E-06","1.8E-07","1.85E-06","0"
"2023-09-11","HiveON","ETC","7cf99ec9029a98afd385f106a93977d8105fec0f","0","21:37:55","0.015402569","21:47:57","0.015402569","0.015402569","0","0.015402569","0"
